sub_grade,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
A1,16718,242443400.0,70489829.49,180730687.1,0.0,0.0,0.0,0.43067352554133265,704555.79,5.630727359732026,29.074757031950547,24.24434,18.07306871,0.070455579
A2,16032,229703600.0,73696569.74,166121066.2,0.0,0.0,0.0,0.8358283433133733,1359629.86,6.383262849301397,32.083332494571266,22.97036,16.61210662,0.135962986
A3,16058,235379075.0,83163733.84,164570229.85,0.0,0.0,0.0,0.8905218582637937,1298416.72,7.031108481753643,35.331829662428575,23.5379075,16.457022985,0.129841672
A4,23151,345921025.0,121742670.22,243491409.94,0.0,0.0,0.0,0.9891581357176795,2012932.67,7.415701697550862,35.19377586835029,34.5921025,24.349140994,0.201293267
A5,32354,487055550.0,159993423.14,356353480.15,0.0,0.0,0.0,1.2765036780614452,3734764.05,8.151072510354206,32.84911200375398,48.705555,35.635348015,0.37347640499999996
B1,32353,455133975.0,149358971.89,335743301.9,0.0,0.0,0.0,1.4712700522362687,4390138.0,8.674742682286032,32.81648483614083,45.5133975,33.57433019,0.4390138
B2,33579,474036175.0,171635505.2397696,339647258.89,0.0,0.0,0.0,1.9178653324994788,5258100.43,9.711595640132225,36.20725891642544,47.4036175,33.964725889,0.525810043
B3,37598,553382575.0,193053403.76,407336288.5,0.0,0.0,0.0,1.9841480929836692,6602105.14,10.571856481727753,34.88606480968433,55.3382575,40.73362885,0.660210514
B4,38027,548616175.0,194504109.35,405944873.8,0.0,0.0,0.0,2.374628553396271,7638669.5,11.473393378389039,35.45358635297255,54.8616175,40.594487380000004,0.76386695
B5,33832,457409525.0,154557125.67,345164933.61,0.0,0.0,0.0,2.6158666351383304,7797390.71,12.005430657365807,33.789660517017,45.7409525,34.516493361,0.779739071
C1,37654,533113625.0,176316390.0894546,409497613.17,0.0,0.0,0.0,2.8921230148191426,10614951.25,12.649675997238008,33.07294764590843,53.3113625,40.949761317000004,1.061495125
C2,37162,540102275.0,179407592.83,418950553.39,0.0,0.0,0.0,3.024595016414617,11108148.91,13.151698778321942,33.21733699973769,54.0102275,41.895055338999995,1.110814891
C3,36697,556418250.0,185125383.1699943,435198529.26,0.0,0.0,0.0,3.308172330163229,12237366.74,13.794469030165954,33.27090424693912,55.641825,43.519852926,1.223736674
C4,36107,559905450.0,180835565.95,446052437.81,0.0,0.0,0.0,3.578253524247376,14958154.06,14.392412828537402,32.297518438157724,55.990545,44.605243781,1.495815406
C5,29459,451294475.0,160596290.1,352231721.91,0.0,0.0,0.0,4.022539801079467,13083664.12,15.095793136223227,35.58569825167924,45.1294475,35.223172191,1.3083664119999998
D1,25683,394406100.0,132035131.98,315108020.7,0.0,0.0,0.0,4.380329400770938,12335246.42,15.877332087372968,33.476949768271844,39.44061,31.51080207,1.233524642
D2,20283,313316200.0,110687656.14998235,247739018.24,0.0,0.0,0.0,5.043632598727999,11758848.99,16.702942365527782,35.327779460488266,31.33162,24.773901824,1.175884899
D3,18151,286337250.0,100231870.73920804,228259116.19,0.0,0.0,0.0,4.9804418489339435,10583569.71,17.222720511266594,35.0048311001129,28.633725,22.825911619,1.058356971
D4,17742,299723325.0,103708703.87,242549932.46,0.0,0.0,0.0,5.315071581557886,12882509.66,17.80502649081276,34.601479170831965,29.9723325,24.254993246,1.288250966
D5,14989,257010850.0,90622822.4282293,208366352.87,0.0,0.0,0.0,5.7975848955900995,11517114.32,18.29266395356595,35.260309994005816,25.701085,20.836635287,1.151711432
E1,13249,234305850.0,75420212.79,195676959.93,0.0,0.0,0.0,5.826854856970337,10781610.47,18.730930636274437,32.188787770343765,23.430585,19.567695993,1.078161047
E2,12143,221712175.0,73352630.53,185240539.07,0.0,0.0,0.0,6.036399571769744,10749221.08,19.22112163386313,33.08461997181706,22.1712175,18.524053907,1.074922108
E3,10065,183480075.0,60182918.62,154579599.37,0.0,0.0,0.0,6.110283159463488,9175164.76,19.83541480377546,32.800792467519976,18.3480075,15.457959937,0.917516476
E4,8186,152850725.0,51474493.79,128979084.07000001,0.0,0.0,0.0,6.498900561935011,8147801.19,20.68598094307354,33.67631641263069,15.2850725,12.897908407000001,0.814780119
E5,6546,122192375.0,43291102.15877864,102651173.29,0.0,0.0,0.0,7.271616254201038,7348747.55,21.677952948365416,35.428644511393315,12.2192375,10.265117329,0.734874755
F1,4841,90434100.0,32789524.5,76226613.08,0.0,0.0,0.0,8.097500516422226,6417616.87,22.680055773600493,36.25792096123033,9.04341,7.622661308,0.641761687
F2,3526,69184900.0,25814888.38,58339459.71,0.0,0.0,0.0,8.621667612024957,4742826.05,23.512858763471353,37.312893969637884,6.91849,5.833945971,0.47428260499999997
F3,2781,52302625.0,20839624.55,43596351.54,0.0,0.0,0.0,8.70190578928443,3952674.37,24.21203164329378,39.84431861689542,5.2302625,4.359635154,0.395267437
F4,2147,41605800.0,17194889.09,34660916.4,0.0,0.0,0.0,8.383791336748953,2981989.62,24.843074056823472,41.32810591311788,4.16058,3.4660916399999997,0.298198962
F5,1571,32039100.0,12954651.23,26854057.72,0.0,0.0,0.0,10.120942075111394,2777310.29,25.442654360280077,40.43387994669014,3.20391,2.6854057719999997,0.277731029
G1,1126,22668800.0,9335727.9,19046308.53,0.0,0.0,0.0,10.8348134991119,2181365.68,26.01373889875666,41.18315879093733,2.26688,1.904630853,0.218136568
G2,852,16802900.0,6733391.95,14262722.87,0.0,0.0,0.0,11.267605633802818,1710127.59,26.289988262910796,40.07279666010034,1.68029,1.426272287,0.17101275900000001
G3,611,12793400.0,5213854.65,10840704.97,0.0,0.0,0.0,11.456628477905074,1172409.84,26.49050736497545,40.75425336501634,1.27934,1.0840704970000001,0.117240984
G4,381,8250025.0,3421431.07,7008538.63,0.0,0.0,0.0,12.335958005249344,919883.28,26.73464566929134,41.47176608555731,0.8250025,0.700853863,0.09198832800000001
G5,326,7338250.0,2995900.38,6255072.92,0.0,0.0,0.0,14.723926380368098,916350.27,26.89634969325153,40.82581514666303,0.733825,0.625507292,0.09163502700000001
