grade,term,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
A,36 months,41484,503776100.0,525334174.0444915,442672.86,1304807.705281273,6.115610837913412,6.2216758268248,0.0,0.0,7.497960659531386,104.27929670432788,50.37761,0.044267285999999996,0.0
A,60 months,859,12146500.0,12491709.67366107,68305.05,81305.93,9.31315483119907,9.662398137369035,0.0,0.0,8.051967403958091,102.84205057968197,1.21465,0.006830505000000001,0.0
B,36 months,69433,820177250.0,858907883.1669798,1296873.42,4958451.62158514,12.028862356516354,12.276583180908213,0.0,0.0,11.564316535365027,104.72222719747222,82.017725,0.12968734199999998,0.0
B,60 months,6830,122828025.0,124476031.70118816,409760.77,1253027.94,17.086383601756953,17.467057101024892,0.0,0.0,11.398414348462664,101.34171879844862,12.2828025,0.040976077,0.0
C,36 months,50246,578433500.0,591301854.2020698,1867504.56,5625544.186400337,17.937746288261753,18.433308124029775,0.0,0.0,14.559915217131712,102.22469034073403,57.84335,0.186750456,0.0
C,60 months,15434,292350800.0,284928276.6318363,1706015.1300000001,4118184.36812578,23.51302319554231,24.232214591162368,0.0,0.0,14.846006867953868,97.46109011223376,29.23508,0.170601513,0.0
D,36 months,27251,316527050.0,318526003.2982151,1464754.07,4506130.55112006,23.78261348207405,24.37341748926645,0.0,0.0,17.573007963010532,100.6315268468256,31.652705,0.146475407,0.0
D,60 months,13567,262965700.0,243892750.36241302,2512179.27,4985959.91089118,29.520159209847424,30.633153976560774,0.0,0.0,17.584886120734133,92.74698196852785,26.29657,0.251217927,0.0
E,36 months,7201,89332000.0,86389913.36303051,566693.3,1645687.85319153,29.023746701846964,30.0097208721011,0.0,0.0,20.193568948757115,96.70657028056073,8.9332,0.056669330000000004,0.0
E,60 months,12186,251162100.0,231874375.39698508,2238954.09,6075147.74,34.20318398161825,35.269981946495975,0.0,0.0,20.429995896930905,92.32060704898753,25.11621,0.223895409,0.0
F,36 months,1573,17352800.0,15950120.70018618,110129.83,526146.29883846,34.710743801652896,35.7914812460267,0.0,0.0,23.25923076923077,91.91669759454486,1.73528,0.011012983,0.0
F,60 months,6166,130516975.0,118731015.00545923,1087650.35,3943224.02,38.72851119039896,39.734025300032435,0.0,0.0,23.47437722997081,90.96978765057897,13.0516975,0.10876503500000001,0.0
G,36 months,185,3112800.0,2997416.064541,7882.29,85536.36,34.5945945945946,35.13513513513514,0.0,0.0,24.100702702702705,96.29324288553714,0.31128,0.000788229,0.0
G,60 months,1775,38562575.0,34284190.194166,354919.72,1197997.22,41.014084507042256,42.19718309859155,0.0,0.0,25.147802816901407,88.90534460980885,3.8562575,0.035491972,0.0
