Annual Income Band,DTI Band,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
<=25K,0-10,2272,10708775.0,10781669.2722882,24725.6,123751.23845688,19.718309859154928,20.070422535211268,0.0,0.0,13.126650528169014,100.68069664633164,1.0708775,0.00247256,0.0
<=25K,10-20,3784,20847775.0,20430700.58499901,75946.9,269120.67,23.837209302325583,24.365750528541227,0.0,0.0,13.660880021141649,97.99942960339418,2.0847775,0.007594689999999999,0.0
<=25K,20-30,3000,16163250.0,15141627.24503721,108756.11,231695.03,26.966666666666665,27.833333333333332,0.0,0.0,14.173176666666667,93.67934818206245,1.616325,0.010875611,0.0
<=25K,30-40,762,4483125.0,3874021.43942147,44771.59,79847.61,30.577427821522306,31.36482939632546,0.0,0.0,15.723779527559056,86.41341562908617,0.4483125,0.004477159,0.0
<=25K,40-100,1,4000.0,4002.33,0.0,0.0,0.0,0.0,0.0,0.0,18.2,100.05824999999999,0.0004,0.0,0.0
<=25K,100+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
25K-50K,0-10,13973,115341800.0,117652999.65630412,229339.95,1073911.70705938,15.694553782294424,15.995133471695414,0.0,0.0,12.999685106992057,102.00378323929758,11.53418,0.022933995000000002,0.0
25K-50K,10-20,31535,303595650.0,301040321.57761943,1260791.15,3642512.83254582,19.97780244173141,20.43443792611384,0.0,0.0,13.668342159505311,99.15831191178775,30.359565,0.126079115,0.0
25K-50K,20-30,26605,270647375.0,258058653.85933793,1684752.98,3856607.923287037,24.46908475850404,25.202029693666606,0.0,0.0,14.303534298064273,95.34866313014783,27.0647375,0.168475298,0.0
25K-50K,30-40,5601,59970450.0,53180911.1879132,630352.05,927999.96,29.584002856632747,30.83377968219961,0.0,0.0,15.668246741653277,88.67852615398617,5.997045,0.06303520500000001,0.0
25K-50K,40-100,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
25K-50K,100+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
50K-75K,0-10,15011,169327350.0,174310226.37565762,433749.29,1599213.23122578,13.070415028978749,13.383518752914531,0.0,0.0,12.84273266271401,102.94274750987222,16.932735,0.043374929,0.0
50K-75K,10-20,36731,482616800.0,487510211.77829134,1681471.73,5300955.4231132995,16.223353570553485,16.62628297623261,0.0,0.0,13.65985924695761,101.01393316152512,48.26168,0.168147173,0.0
50K-75K,20-30,23837,350740600.0,340075644.24167264,1823351.86,5265370.67,21.89033854931409,22.477660779460503,0.0,0.0,14.581290850358686,96.95930389629048,35.07406,0.182335186,0.0
50K-75K,30-40,4254,65787475.0,59695233.72677646,620320.33,1142184.71,26.398683591913493,27.456511518570757,0.0,0.0,15.8162341325811,90.73951193107268,6.5787475,0.06203203299999999,0.0
50K-75K,40-100,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
50K-75K,100+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
75K-100K,0-10,10608,151167950.0,156565325.99436387,145363.56,1219795.71,11.302790346907994,11.434766214177978,0.0,0.0,12.636681749622927,103.57044994945284,15.116795,0.014536356,0.0
75K-100K,10-20,22764,374901800.0,383746142.12430555,1208433.34,3996630.59883846,14.123176946055175,14.505359339307681,0.0,0.0,13.55306668423827,102.35910900515964,37.49018,0.12084333400000001,0.0
75K-100K,20-30,11118,206049725.0,204340685.96555007,874238.01,3030565.45,18.708400791509263,19.12214427055226,0.0,0.0,14.474617737003056,99.1705696115586,20.6049725,0.087423801,0.0
75K-100K,30-40,1506,29836525.0,27178335.50877767,263304.61,506817.79,24.302788844621514,25.298804780876495,0.0,0.0,15.740504648074369,91.09082076005053,2.9836525,0.026330461,0.0
75K-100K,40-100,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
75K-100K,100+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
100K-150K,0-10,9010,151283550.0,159080285.27595058,311452.46,1316679.003437343,9.522752497225305,9.744728079911209,0.0,0.0,12.471884572697002,105.15372310865958,15.128355,0.031145246,0.0
100K-150K,10-20,15222,294359525.0,306947882.8516339,957467.96,2948534.54184393,12.547628432531862,12.90894757587702,0.0,0.0,13.564139403494941,104.27652471977386,29.4359525,0.095746796,0.0
100K-150K,20-30,5404,114373300.0,114920108.73414,746379.46,1478151.23,16.931902294596597,17.672094744633604,0.0,0.0,14.241950407105847,100.47809124519446,11.43733,0.074637946,0.0
100K-150K,30-40,600,13498475.0,12882938.20038214,288042.01,164218.53,19.833333333333332,21.666666666666668,0.0,0.0,15.552033333333332,95.43995303456234,1.3498475,0.028804201,0.0
100K-150K,40-100,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
100K-150K,100+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
150K-250K,0-10,3622,72866975.0,75954168.06025837,154236.52000000002,586900.92,11.01601325234677,11.319712865819989,0.0,0.0,12.972802319160683,104.23675205435437,7.2866975,0.015423652000000001,0.0
150K-250K,10-20,4063,90506200.0,94203840.18663727,345452.38,870515.24562583,12.281565345803594,12.699975387644596,0.0,0.0,13.690804824021658,104.08551037015947,9.05062,0.034545238,0.0
150K-250K,20-30,1004,23839050.0,24319167.65004872,55677.3,296979.2,15.637450199203187,16.135458167330675,0.0,0.0,14.329910358565737,102.01399657305438,2.383905,0.00556773,0.0
150K-250K,30-40,70,1689750.0,1568360.19040546,33571.07,40814.53,22.857142857142858,24.285714285714285,0.0,0.0,15.161428571428571,92.81610832403966,0.168975,0.003357107,0.0
150K-250K,40-100,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
150K-250K,100+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
250K+,0-10,1187,27930575.0,29285186.62235308,90307.12,224341.01,10.446503791069924,10.783487784330244,0.0,0.0,13.250926705981467,104.8499238642709,2.7930575,0.009030712,0.0
250K+,10-20,582,14993200.0,15653583.13248101,42039.369999999995,102561.3,11.683848797250858,12.027491408934708,0.0,0.0,14.24544673539519,104.4045509463024,1.49932,0.004203937,0.0
250K+,20-30,59,1577625.0,1545504.16056125,0.0,10475.64,13.559322033898304,13.559322033898304,0.0,0.0,14.191016949152543,97.96397499793994,0.1577625,0.0,0.0
250K+,30-40,5,135525.0,137975.872055,0.0,0.0,20.0,20.0,0.0,0.0,13.318000000000001,101.80842800590297,0.0135525,0.0,0.0
250K+,40-100,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
250K+,100+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
