purpose,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
car,3656,28356375.0,29389508.99536778,98475.64,232985.703437343,12.25382932166302,12.527352297592998,0.0,0.0,11.628074398249453,103.64339234252537,2.8356375,0.009847564,0.0
credit_card,50309,697912175.0,708985059.7684519,2723691.72,6584264.711787814,15.555864755809099,16.01900256415353,0.0,0.0,12.81680772823948,101.58657280458705,69.7912175,0.27236917200000005,0.0
debt_consolidation,149153,2143179225.0,2144286479.1025987,9524588.19,25941499.44469844,18.503818226921346,19.033475692745032,0.0,0.0,14.080212265257822,100.05166409274982,214.3179225,0.952458819,0.0
educational,325,2174925.0,2287530.01104661,0.0,24532.08162638,17.23076923076923,17.23076923076923,0.0,0.0,11.650830769230769,105.17742041893902,0.2174925,0.0,0.0
home_improvement,14976,203524700.0,205108237.08422765,529331.74,2205245.65,15.15090811965812,15.464743589743591,0.0,0.0,13.131977163461539,100.77805646402015,20.35247,0.052933174,0.0
house,1659,25314475.0,25700508.69361131,98881.1,323699.43,17.23930078360458,17.661241711874624,0.0,0.0,14.746672694394213,101.52495239822792,2.5314475,0.00988811,0.0
major_purchase,6279,62530775.0,62646312.08365473,150380.56,681241.91812578,13.91941391941392,14.142379359770665,0.0,0.0,12.259030100334448,100.1847683539101,6.2530775,0.015038056,0.0
medical,2869,24866725.0,24446088.947119,136087.26,325618.77,19.8326943185779,20.355524573021956,0.0,0.0,14.627438131753225,98.30843807183697,2.4866725,0.013608726000000002,0.0
moving,2039,15268200.0,14863184.89313413,81898.85,194746.06,20.84355076017656,21.383030897498774,0.0,0.0,15.148911230995587,97.34732904424969,1.52682,0.008189885000000001,0.0
other,14342,133255225.0,131688661.02226423,494856.83,1877979.543621373,20.47134290893878,20.92455724445684,0.0,0.0,14.966579277646074,98.82438832868597,13.3255225,0.049485683,0.0
renewable_energy,267,2553400.0,2534322.6294231,0.0,55179.5,20.224719101123593,20.224719101123593,0.0,0.0,14.134569288389512,99.2528640018446,0.25534,0.0,0.0
small_business,4765,71017625.0,67310577.6206955,270602.28,1518244.98213663,28.77229800629591,29.1710388247639,0.0,0.0,15.167788037775445,94.78010229248795,7.1017625,0.027060228000000002,0.0
vacation,1596,9231075.0,9150279.97375682,25500.54,108123.94,16.917293233082706,17.418546365914786,0.0,0.0,14.19423558897243,99.12474954170365,0.9231075,0.002550054,0.0
wedding,1955,20059275.0,21688962.97987119,0.0,233789.97,13.554987212276215,13.554987212276215,0.0,0.0,13.405606138107416,108.12436132348348,2.0059275,0.0,0.0
